ID	Module Correlation	MotifconservationScore
NIATv7_g17075	0.987772912	0.5
NIATv7_g19992	0.970139193	0.692307692
NIATv7_g34810	0.961523139	0.470588235
NIATv7_g28985	0.649834423	0.4
NIATv7_g03410	0.894413622	0.409090909
NIATv7_g29978	0.97378038	0.222222222
NIATv7_g42721	0.849710983	0.421052632
NIATv7_g31688	0.684166066	0.411764706
NIATv7_g33088	0.972256064	0.476190476
NIATv7_g07696	0.975021953	0.571428571
NIATv7_g21131	0.988960212	0.384615385
NIATv7_g26487	0.977679868	0.45
NIATv7_g11525	0.86234791	0.68
NIATv7_g28241	0.962237936	0.5
NIATv7_g19088	0.981232189	0.705882353
NIATv7_g11091	0.564693137	0.535714286
NIATv7_g16189	0.987886973	0.590909091
NIATv7_g12711	0.985249604	0.333333333
NIATv7_g20460	0.84297692	0.666666667
NIATv7_g18001	0.993248339	0.428571429
NIATv7_g16616	0.751864922	0.333333333
NIATv7_g39427	-0.556240789	0.428571429
NIATv7_g11639	0.879771782	0.615384615
NIATv7_g33798	0.8032024	0.607142857
NIATv7_g30043	0.62580962	0.25
NIATv7_g40884	0.962531182	0.285714286
NIATv7_g05680	0.868137731	0.533333333
